name,sales,zipcode,address,store,first_sale,last_sale
HY-VEE FOOD STORE #1 / AMES,110390,50010,3800 W LINCOLN WAY,2500,2012-01-09T00:00:00Z,2022-10-26T00:00:00Z
HY-VEE FOOD STORE / MARION,95967,52302,3600 BUSINESS HWY 151 EAST,2560,2012-01-05T00:00:00Z,2022-10-28T00:00:00Z
HY-VEE WINE AND SPIRITS / ANKENY,95885,50021,410 NORTH ANKENY BLVD,2502,2012-01-04T00:00:00Z,2022-10-28T00:00:00Z
HY-VEE / WINDSOR HEIGHTS,87352,50311,7101 UNIVERSITY AVE,2620,2012-01-05T00:00:00Z,2022-10-26T00:00:00Z
HY-VEE FOOD STORE / DUBUQUE,83296,52001,3500 DODGE ST,2524,2012-01-03T00:00:00Z,2022-10-28T00:00:00Z
HY-VEE WINE AND SPIRITS / WATERLOO,82420,50701,2126 KIMBALL AVE,2643,2012-01-09T00:00:00Z,2022-10-25T00:00:00Z
HY-VEE FOOD STORE #2 / IOWA CITY,74161,52240,812  S 1ST AVE,2513,2012-01-05T00:00:00Z,2022-09-28T00:00:00Z
HY-VEE FOOD STORE #3 / DES MOINES,73472,50315,3221 SE 14TH ST,2528,2012-01-05T00:00:00Z,2022-10-31T00:00:00Z
HY-VEE WINE AND SPIRITS #2,60878,52804,3301 W KIMBERLY RD,2625,2012-01-03T00:00:00Z,2017-12-06T00:00:00Z
HY-VEE FOOD STORE #1 / WDM,60461,50265,1700 VALLEY WEST DR,2535,2012-01-04T00:00:00Z,2022-05-24T00:00:00Z
HY-VEE FOOD STORE / INDIANOLA,56074,50125,910 N JEFFERSON,2549,2012-01-03T00:00:00Z,2022-10-25T00:00:00Z
HY-VEE FOOD STORE / CHARITON,47476,50049,2001 WEST COURT,2551,2012-01-09T00:00:00Z,2022-10-28T00:00:00Z
HY-VEE WINE & SPIRITS #2 / DAVENPORT,44113,52804,3301 W KIMBERLY RD,2625,2017-12-13T00:00:00Z,2022-10-31T00:00:00Z
BIG G FOOD STORE,39320,52301,PO BOX 261  310 W DILLON,3417,2012-01-04T00:00:00Z,2022-10-31T00:00:00Z
WAL-MART 3630 / MARION,37016,52302,5491 BUSINESS HWY 151,3868,2012-01-05T00:00:00Z,2023-07-28T00:00:00Z
HY-VEE WINE AND SPIRITS / SPIRIT LAKE,35198,51360,HWY 9 & 71,2522,2016-08-31T00:00:00Z,2022-04-20T00:00:00Z
WAL-MART 1965 / COUNCIL BLUFFS,33614,51503,3200 MANAWA DR,3629,2012-01-03T00:00:00Z,2022-10-27T00:00:00Z
QUILLINS FOOD RANCH / WAUKON,33148,52172,9TH ST SW B,3857,2012-01-09T00:00:00Z,2023-03-31T00:00:00Z
HY-VEE FOOD STORE / KNOXVILLE,32421,50138,813 N LINCOLN STE 1,2566,2012-01-04T00:00:00Z,2022-10-28T00:00:00Z
HY-VEE FOOD STORE / IOWA FALLS,31427,50126,HIGHWAY 65 SOUTH,2539,2012-01-16T00:00:00Z,2022-12-19T00:00:00Z
LIQUOR LOCKER,31281,51246,507 1ST AVE #100,3705,2012-01-04T00:00:00Z,2022-10-25T00:00:00Z
HY-VEE WINE AND SPIRITS / SPIRIT LAK,29615,51360,HWY 9 & 71,2522,2012-01-03T00:00:00Z,2016-08-24T00:00:00Z
NEW STAR LIQUOR / W 4TH S / WATERLOO,28736,50701,1625 WEST 4TH ST,3993,2012-01-09T00:00:00Z,2022-10-25T00:00:00Z
SUPER QUICK 2 / HUBBELL,26811,50317,1824 HUBBELL AVE,4169,2012-01-18T00:00:00Z,2022-10-28T00:00:00Z
MAD AVE QUIK SHOP,26269,52501,"405, MADISON AVE",5257,2016-04-27T00:00:00Z,2022-10-28T00:00:00Z
WINE AND SPIRITS GALLERY,23918,50322,7690 HICKMAN RD,3762,2012-01-03T00:00:00Z,2018-08-20T00:00:00Z
MCNALLY'S SUPER VALU,22198,50112,1026 MAIN,3054,2012-01-05T00:00:00Z,2022-10-25T00:00:00Z
RUBACK'S FOOD CENTER,20329,51560,504 SOUTH HIGHWAY,2445,2012-01-03T00:00:00Z,2023-03-31T00:00:00Z
GD XPRESS / DAVENPORT,20194,52804,4607 N PINE ST,4638,2012-03-15T00:00:00Z,2022-04-25T00:00:00Z
HY-VEE  #2 / AMES,19684,50010,640 LINCOLNWAY,2501,2020-09-02T00:00:00Z,2022-10-26T00:00:00Z
SMOKIN' JOE'S #14 TOBACCO AND LIQUOR,18509,52405,225 EDGEWOOD RD,3912,2012-01-05T00:00:00Z,2016-08-23T00:00:00Z
WAL-MART 1491 / INDIANOLA,18095,50125,1500 NORTH JEFFERSON,3651,2012-01-03T00:00:00Z,2022-10-25T00:00:00Z
HY-VEE WINE AND SPIRITS / ESTHERVILL,17948,51334,2608 E. CENTRAL AVENUE,2556,2012-01-03T00:00:00Z,2016-08-24T00:00:00Z
FAREWAY STORES #058 / ORANGE CITY,16719,51041,512  8TH SE,4255,2012-01-09T00:00:00Z,2022-10-25T00:00:00Z
WAL-MART 1506 / MANCHESTER,15707,52057,1220 WEST MAIN,4019,2012-01-16T00:00:00Z,2022-10-25T00:00:00Z
SMOKIN' JOE'S #13 TOBACCO AND LIQUOR OUTLET,15068,52303,2315 MT VERNON RD SE,5142,2017-12-12T00:00:00Z,2022-10-27T00:00:00Z
WAL-MART 1732 / DENISON,14915,51442,510 C AVE,4014,2012-01-04T00:00:00Z,2023-03-28T00:00:00Z
FAREWAY STORES #983 / GRIMES,13985,50111,351 GATEWAY DR,4136,2012-01-16T00:00:00Z,2021-11-30T00:00:00Z
FAREWAY STORES #061 / ANKENY,13834,50023,3205 NORTH ANKENY BLVD,4084,2012-01-09T00:00:00Z,2022-09-28T00:00:00Z
AJ'S LIQUOR / AMES,13624,50014,4518 MORTENSON RD STE 109,4251,2012-01-05T00:00:00Z,2019-01-18T00:00:00Z
REINHART FOODS,13580,50115,200 STATE PO BOX 98,2459,2012-01-03T00:00:00Z,2022-01-28T00:00:00Z
PRAIRIE MEADOWS,13147,50009,ONE PRAIRIE MEADOWS DRIVE,2478,2012-01-05T00:00:00Z,2022-09-29T00:00:00Z
SMOKIN' JOE'S #14 TOBACCO AND LIQUOR OUTLET,13139,52405,225 EDGEWOOD RD,3912,2016-08-31T00:00:00Z,2022-05-31T00:00:00Z
KUM & GO #573 / SE 14TH DM,12903,50315,5830 SE 14TH ST,4641,2012-02-23T00:00:00Z,2022-10-28T00:00:00Z
WAL-MART 1723 / DES MOINES,12853,50315,5101 SE 14TH ST,3696,2012-01-12T00:00:00Z,2022-10-31T00:00:00Z
KUM & GO #8 / 8TH ST / WDM,12776,50265,1293 8TH AVE,4382,2012-01-05T00:00:00Z,2022-05-26T00:00:00Z
FAREWAY STORES #114 / DUBUQUE,12097,52001,2050 JOHN F KENNEDY RD,4334,2012-01-03T00:00:00Z,2022-10-28T00:00:00Z
HILLTOP GROCERY,11712,52803,1312 HARRISON ST,4962,2014-02-17T00:00:00Z,2022-10-31T00:00:00Z
GASLAND / BURLINGTON,11598,52655,1003 SUMMER ST,4752,2012-06-27T00:00:00Z,2022-09-30T00:00:00Z
KWIK SHOP #520 / CARTER LAKE,11466,51510,1202 EAST LOCUST ST,4633,2012-02-08T00:00:00Z,2022-09-23T00:00:00Z
DYNO'S WINE AND SPIRITS / STORM LAKE,11426,50588,1201 1/2 LAKESHORE DR,3855,2012-01-04T00:00:00Z,2021-01-04T00:00:00Z
KUM & GO #4098 / WINDSOR HEIGHTS,11127,50311,7229 UNIVERSTY AVE,4403,2012-01-26T00:00:00Z,2022-10-27T00:00:00Z
IDA GROVE FOOD PRIDE,11033,51445,200 SUSAN LAWRENCE DR,5004,2014-06-04T00:00:00Z,2023-03-28T00:00:00Z
KUM & GO #535 / DES MOINES,10884,50317,4960 E BROADWAY AVE,5057,2014-11-06T00:00:00Z,2022-10-27T00:00:00Z
